Date,Price,Log Price
2011-01-29,0.439,-0.357535479757879
2011-01-30,0.477142033898305,-0.321352322518897
2011-01-31,0.525136870251315,-0.279727488502977
2011-02-01,0.707510116890707,-0.150267345657532
2011-02-02,0.725434821741671,-0.139401601599128
2011-02-03,0.693898367621274,-0.15870413417553
2011-02-04,0.810958971361777,-0.0910011173818358
2011-02-05,0.911671477498539,-0.0401616323000597
2011-02-06,0.898,-0.0467236633326956
2011-02-07,0.889421369959088,-0.0508924400503236
2011-02-08,0.918,-0.0371573187987575
2011-02-09,1.01605024547049,0.00691518510441029
2011-02-10,0.979652963179427,-0.00892774356081124
2011-02-11,1.05406945353594,0.0228692278534189
2011-02-12,1.07870328404442,0.032902000916971
2011-02-13,1.05,0.0211892990699381
2011-02-14,1.07001262419638,0.0293889015978113
2011-02-15,1.05,0.0211892990699381
2011-02-16,1.031687628872,0.0135482228797222
2011-02-17,1.0399231975453,0.0170012661123018
2011-02-18,0.898955914669784,-0.0462616058030382
2011-02-19,0.944028116890707,-0.0250150705021064
2011-02-20,0.865,-0.0629838925351858
2011-02-21,0.835747428404442,-0.0779249510578333
2011-02-22,0.877041779661017,-0.0569797176441654
2011-02-23,0.9,-0.0457574905606751
2011-02-24,0.989095265926359,-0.0047618767813858
2011-02-25,0.914652001753361,-0.0387441108139387
2011-02-26,0.958,-0.0186344909214556
2011-02-27,0.895033114552893,-0.0481608963024733
2011-02-28,0.860220923436587,-0.065389998165862
2011-03-01,0.921096891876096,-0.0356946831648921
2011-03-02,0.9399,-0.0269183503986324
2011-03-03,0.939073383401519,-0.0273004686912075
2011-03-04,0.9011,-0.0452270103102829
2011-03-05,0.90784060666277,-0.0419903956676779
2011-03-06,0.884770973115138,-0.0531691338046433
2011-03-07,0.877583864406779,-0.0567113704647034
2011-03-08,0.866071591466979,-0.0624462067194132
2011-03-09,0.86,-0.0655015487564323
2011-03-10,0.920670309760374,-0.0358958619697757
2011-03-11,0.88,-0.0555173278498314
2011-03-12,0.917815513150205,-0.0372446060240212
2011-03-13,0.89249,-0.0493966412876453
2011-03-14,0.893924922852133,-0.0486989543139295
2011-03-15,0.87224,-0.0593640009222296
2011-03-16,0.851211665692578,-0.0699624330856842
2011-03-17,0.82542,-0.0833250123371983
2011-03-18,0.801959208065459,-0.0958477216941752
2011-03-19,0.765,-0.116338564846382
2011-03-20,0.7415,-0.129888844635599
2011-03-21,0.75897,-0.119775390233572
2011-03-22,0.809130292811222,-0.0919815390888727
2011-03-23,0.84971,-0.070729270626229
2011-03-24,0.872374365867914,-0.0592971043561481
2011-03-25,0.88377,-0.0536607448597061
2011-03-26,0.8552,-0.0679323077992784
2011-03-27,0.822,-0.0851281824599496
2011-03-28,0.794740500292227,-0.0997746545995034
2011-03-29,0.792509941554646,-0.100995281116213
2011-03-30,0.789706312098189,-0.102534390670669
2011-03-31,0.78461,-0.105346161007473
2011-04-01,0.77411,-0.111197322264586
2011-04-02,0.78199,-0.106798800613538
2011-04-03,0.779,-0.108462542327436
2011-04-04,0.68,-0.167491087293764
2011-04-05,0.715691834599649,-0.145273937667355
2011-04-06,0.74,-0.130768280269024
2011-04-07,0.7538,-0.122743866886414
2011-04-08,0.74999,-0.124944527239996
2011-04-09,0.734060517241379,-0.134268134606298
2011-04-10,0.733156820572765,-0.134803120822734
2011-04-11,0.770113933372297,-0.113445019016423
2011-04-12,0.861381607831677,-0.0648044055040988
2011-04-13,0.930320058445353,-0.0313676152053021
2011-04-14,0.998629766218586,-0.000595493045765228
2011-04-15,0.983673136762127,-0.00714918864479818
2011-04-16,1.04663285797779,0.0197943648527594
2011-04-17,1.09812209789597,0.0406506310925913
2011-04-18,1.14943331151373,0.0604837791879363
2011-04-19,1.18516222092344,0.073777799147886
2011-04-20,1.14212598480421,0.0577140123927164
2011-04-21,1.20733887200468,0.0818291835904193
2011-04-22,1.40450508182349,0.147523314918093
2011-04-23,1.82885230099357,0.262178633057833
2011-04-24,1.63198421975453,0.212715955087779
2011-04-25,1.56448363530099,0.19437102473012
2011-04-26,1.77084089012274,0.248179541627141
2011-04-27,1.9031759585038,0.279478942924185
2011-04-28,2.28574446580947,0.359027676937662
2011-04-29,2.85060509000585,0.454937056274497
2011-04-30,3.5,0.544068044350276
2011-05-01,3.0942275534775,0.490552249113077
2011-05-02,3.2,0.505149978319906
2011-05-03,3.36058570368206,0.526414975517659
2011-05-04,3.40867304734074,0.532585346624781
2011-05-05,3.34373668439509,0.524232069898313
2011-05-06,3.45507558445354,0.538457552593584
2011-05-07,3.64126297779077,0.561252045503317
2011-05-08,3.84866837697253,0.58531049143868
2011-05-09,3.80408958211572,0.580250735542044
2011-05-10,5.65166700233781,0.752176565188625
2011-05-11,5.43975104383402,0.735579024190238
2011-05-12,6.3348786943308,0.80173830305732
2011-05-13,8.13903486732905,0.910572908986993
2011-05-14,7.00724382933957,0.845547229794746
2011-05-15,6.92492484453536,0.840415064410754
2011-05-16,7.88514074517826,0.89680944963813
2011-05-17,7.25719954061952,0.860769064406964
2011-05-18,6.76316336236119,0.830149877816464
2011-05-19,6.89014363237873,0.838228275332782
2011-05-20,5.61809621858562,0.749589172893853
2011-05-21,6.08480066744594,0.784246355705568
2011-05-22,6.71195603974284,0.826849103398768
2011-05-23,7.06525678375219,0.849127950719613
2011-05-24,7.40266058211573,0.869387837090764
2011-05-25,8.56928963705436,0.932944821982226
2011-05-26,8.78215543424898,0.943601119359038
2011-05-27,8.52865846814728,0.930880723347981
2011-05-28,8.34926911981298,0.921648459780031
2011-05-29,8.40095347223846,0.924328579422873
2011-05-30,8.77934246464056,0.943461990317064
2011-05-31,8.72157642197545,0.940594990607787
2011-06-01,9.62377723202805,0.983345561544934
2011-06-02,10.7027602279369,1.02949579611234
2011-06-03,14.2646467738165,1.15426102197405
2011-06-04,18.3127387258913,1.26275329922236
2011-06-05,16.5433423962595,1.21862325839693
2011-06-06,18.4020986440678,1.26486735439892
2011-06-07,23.2378784628872,1.3661964759593
2011-06-08,29.0299213267095,1.46284585886225
2011-06-09,28.7905440181181,1.45924987126344
2011-06-10,24.0493992285213,1.38110423185343
2011-06-11,14.7497466277031,1.16878456003381
2011-06-12,18.8501447311514,1.27531468906166
2011-06-13,19.5423291145529,1.29097632301211
2011-06-14,19.2577355055523,1.28460521761393
2011-06-15,19.4641426241964,1.28923527824266
2011-06-16,17.9293625423729,1.2535648490016
2011-06-17,15.4363689129164,1.18854514920289
2011-06-18,16.8754045353594,1.22725419248786
2011-06-19,17.5107167913501,1.24330392404784
2011-06-20,17.5107167913501,1.24330392404784
2011-06-21,17.5107167913501,1.24330392404784
2011-06-22,17.5107167913501,1.24330392404784
2011-06-23,17.5107167913501,1.24330392404784
2011-06-24,17.5107167913501,1.24330392404784
2011-06-25,17.5107167913501,1.24330392404784
2011-06-26,16.3613420157802,1.21381892318276
2011-06-27,16.7522858132671,1.22407407396143
2011-06-28,16.9618353071303,1.22947284206195
2011-06-29,16.8545683179427,1.22671763377564
2011-06-30,16.1852627808299,1.20911975491795
2011-07-01,15.4203573991818,1.18809443951868
2011-07-02,15.38284406955,1.18703663777507
2011-07-03,15.4575505604909,1.18914067571798
2011-07-04,13.8527968123904,1.14153746419937
2011-07-05,12.9648177147867,1.11276641497203
2011-07-06,14.7147835832846,1.16775387912496
2011-07-07,14.7972891613092,1.17018216065725
2011-07-08,14.2990376969608,1.15530681110406
2011-07-09,14.3815006697838,1.15780420583837
2011-07-10,14.6229375511397,1.16503462529626
2011-07-11,14.3101554330801,1.15564435097588
2011-07-12,14.0212726215663,1.14678743356223
2011-07-13,13.9714545225015,1.145241621448
2011-07-14,13.997974547633,1.14606519950512
2011-07-15,13.8063904056108,1.14008014984363
2011-07-16,13.7130792992402,1.13713498743048
